candidate_key,model_id,threshold_quantile,threshold,persistence_observations,recovery_observations,alert_count,event_recall,preimpact_event_recall,alert_precision,false_alert_rate,false_alert_ci_high,duplicate_alerts,median_delay_seconds,budget_point_compliant,budget_95_compliant,nonzero_alerts
statistical|0.99|1,statistical,0.99,20.35675291780744,1,4,88,1.0,1.0,0.011363636363636364,4.35,5.365708929126191,0.0,0.0,False,False,True
statistical|0.99|2,statistical,0.99,20.35675291780744,2,4,5,1.0,1.0,0.2,0.2,0.5120794337701848,0.0,0.0,False,False,True
statistical|0.99|4,statistical,0.99,20.35675291780744,4,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
statistical|0.995|1,statistical,0.995,20.4237440100975,1,4,5,1.0,1.0,0.2,0.2,0.5120794337701848,0.0,0.0,False,False,True
statistical|0.995|2,statistical,0.995,20.4237440100975,2,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
statistical|0.995|4,statistical,0.995,20.4237440100975,4,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
statistical|0.9975|1,statistical,0.9975,20.81731366547335,1,4,5,1.0,1.0,0.2,0.2,0.5120794337701848,0.0,0.0,False,False,True
statistical|0.9975|2,statistical,0.9975,20.81731366547335,2,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
statistical|0.9975|4,statistical,0.9975,20.81731366547335,4,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
statistical|0.999|1,statistical,0.999,20.81731366547335,1,4,5,1.0,1.0,0.2,0.2,0.5120794337701848,0.0,0.0,False,False,True
statistical|0.999|2,statistical,0.999,20.81731366547335,2,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
statistical|0.999|4,statistical,0.999,20.81731366547335,4,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
statistical|0.9995|1,statistical,0.9995,20.81731366547335,1,4,5,1.0,1.0,0.2,0.2,0.5120794337701848,0.0,0.0,False,False,True
statistical|0.9995|2,statistical,0.9995,20.81731366547335,2,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
statistical|0.9995|4,statistical,0.9995,20.81731366547335,4,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
isolation_forest|0.99|1,isolation_forest,0.99,0.15405743574356895,1,4,8,1.0,1.0,0.125,0.35,0.7211337680851189,0.0,0.0,False,False,True
isolation_forest|0.99|2,isolation_forest,0.99,0.15405743574356895,2,4,2,1.0,1.0,0.5,0.05,0.2785821695469449,0.0,0.0,False,False,True
isolation_forest|0.99|4,isolation_forest,0.99,0.15405743574356895,4,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
isolation_forest|0.995|1,isolation_forest,0.995,0.169641229737924,1,4,6,1.0,1.0,0.16666666666666666,0.2,0.5120794337701848,1.0,0.0,False,False,True
isolation_forest|0.995|2,isolation_forest,0.995,0.169641229737924,2,4,1,0.0,0.0,0.0,0.05,0.2785821695469449,0.0,,False,False,True
isolation_forest|0.995|4,isolation_forest,0.995,0.169641229737924,4,4,0,0.0,0.0,,0.0,0.1844439727056968,0.0,,True,False,False
isolation_forest|0.9975|1,isolation_forest,0.9975,0.1784251799844922,1,4,4,1.0,1.0,0.25,0.15,0.43836365348711614,0.0,0.0,False,False,True
isolation_forest|0.9975|2,isolation_forest,0.9975,0.1784251799844922,2,4,0,0.0,0.0,,0.0,0.1844439727056968,0.0,,True,False,False
isolation_forest|0.9975|4,isolation_forest,0.9975,0.1784251799844922,4,4,0,0.0,0.0,,0.0,0.1844439727056968,0.0,,True,False,False
isolation_forest|0.999|1,isolation_forest,0.999,0.1909164479582103,1,4,2,1.0,1.0,0.5,0.05,0.2785821695469449,0.0,0.0,False,False,True
isolation_forest|0.999|2,isolation_forest,0.999,0.1909164479582103,2,4,0,0.0,0.0,,0.0,0.1844439727056968,0.0,,True,False,False
isolation_forest|0.999|4,isolation_forest,0.999,0.1909164479582103,4,4,0,0.0,0.0,,0.0,0.1844439727056968,0.0,,True,False,False
isolation_forest|0.9995|1,isolation_forest,0.9995,0.1951766355050241,1,4,2,1.0,1.0,0.5,0.05,0.2785821695469449,0.0,0.0,False,False,True
isolation_forest|0.9995|2,isolation_forest,0.9995,0.1951766355050241,2,4,0,0.0,0.0,,0.0,0.1844439727056968,0.0,,True,False,False
isolation_forest|0.9995|4,isolation_forest,0.9995,0.1951766355050241,4,4,0,0.0,0.0,,0.0,0.1844439727056968,0.0,,True,False,False
pca|0.99|1,pca,0.99,1.0166448426289452,1,4,22,1.0,1.0,0.045454545454545456,1.05,1.6050365367471682,0.0,0.0,False,False,True
pca|0.99|2,pca,0.99,1.0166448426289452,2,4,2,1.0,1.0,0.5,0.05,0.2785821695469449,0.0,0.0,False,False,True
pca|0.99|4,pca,0.99,1.0166448426289452,4,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
pca|0.995|1,pca,0.995,1.2078738822147659,1,4,9,1.0,1.0,0.1111111111111111,0.4,0.7881594610096657,0.0,0.0,False,False,True
pca|0.995|2,pca,0.995,1.2078738822147659,2,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
pca|0.995|4,pca,0.995,1.2078738822147659,4,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
pca|0.9975|1,pca,0.9975,1.3684868421222491,1,4,2,1.0,1.0,0.5,0.05,0.2785821695469449,0.0,0.0,False,False,True
pca|0.9975|2,pca,0.9975,1.3684868421222491,2,4,1,1.0,1.0,1.0,0.0,0.1844439727056968,0.0,0.0,True,False,True
